etab, eR1, eR2, eZ1, eZ2
"Iteration 1 -> 1.1431320, 0.12545853, 0.020373369, 0.096731157, 0.030229988"
"Iteration 2 -> 1.5095601, 0.0940132, 0.0069790202, 0.10113787, -0.0025435578"
"Iteration 3 -> 0.985054, 0.11572591, 0.017012340, 0.19439637, 0.0010548250"
"Iteration 4 -> 0.985054, 0.11572591, 0.017012340, 0.19439637, 0.0010548250"
"Iteration 5 -> 0.985054, 0.11572591, 0.017012340, 0.19439637, 0.0010548250"
"Iteration 6 -> 0.985054, 0.11572591, 0.017012340, 0.19439637, 0.0010548250"
"Iteration 7 -> 0.985054, 0.11572591, 0.017012340, 0.19439637, 0.0010548250"
"Iteration 8 -> 0.985054, 0.11572591, 0.017012340, 0.19439637, 0.0010548250"
"Iteration 9 -> 0.910613, 0.10639845, 0.016553646, 0.119015, 0.017511311"
"Iteration 10 -> 0.910613, 0.10639845, 0.016553646, 0.119015, 0.017511311"
"Iteration 11 -> 0.910613, 0.10639845, 0.016553646, 0.119015, 0.017511311"
"Iteration 12 -> 0.910613, 0.10639845, 0.016553646, 0.119015, 0.017511311"
"Iteration 13 -> 0.910613, 0.10639845, 0.016553646, 0.119015, 0.017511311"
"Iteration 14 -> 0.910613, 0.10639845, 0.016553646, 0.119015, 0.017511311"
"Iteration 15 -> 0.602314, 0.0933523, 0.00660244, 0.164731, 0.00893286"
"Iteration 16 -> 0.91594042, 0.0905926, 0.00307554, 0.171764, 0.0030218015"
"Iteration 17 -> 0.91594042, 0.0905926, 0.00307554, 0.171764, 0.0030218015"
"Iteration 18 -> 0.91594042, 0.0905926, 0.00307554, 0.171764, 0.0030218015"
"Iteration 19 -> 0.91594042, 0.0905926, 0.00307554, 0.171764, 0.0030218015"
"Iteration 20 -> 0.91594042, 0.0905926, 0.00307554, 0.171764, 0.0030218015"
"Iteration 21 -> 0.91594042, 0.0905926, 0.00307554, 0.171764, 0.00328146"
"Iteration 22 -> 0.91594042, 0.0905926, 0.00307554, 0.171764, 0.00328146"
"Iteration 23 -> 0.779571, 0.0903662, 0.00466531, 0.134313, 0.00734473"
"Iteration 24 -> 0.779571, 0.0903662, 0.00466531, 0.134313, 0.00734473"
"Iteration 25 -> 0.779571, 0.0903662, 0.00466531, 0.134313, 0.00734473"
"Iteration 26 -> 0.779571, 0.0903662, 0.00466531, 0.134313, 0.00734473"
"Iteration 27 -> 0.779571, 0.0903662, 0.00466531, 0.134313, 0.00734473"
"Iteration 28 -> 0.779571, 0.0903662, 0.00466531, 0.134313, 0.00734473"
"Iteration 29 -> 0.779571, 0.0903662, 0.00466531, 0.134313, 0.00734473"
"Iteration 30 -> 0.779571, 0.0903662, 0.00466531, 0.134313, 0.00734473"
"Iteration 31 -> 0.779571, 0.0903662, 0.00466531, 0.134313, 0.00734473"
"Iteration 32 -> 0.779571, 0.0903662, 0.00466531, 0.134313, 0.00734473"
"Iteration 33 -> 0.779571, 0.100339, 0.00466531, 0.148614, 0.00734473"
"Iteration 34 -> 0.779571, 0.100339, 0.00466531, 0.148614, 0.00734473"
"Iteration 35 -> 0.779571, 0.100339, 0.00466531, 0.148614, 0.00734473"
"Iteration 36 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 37 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 38 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 39 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 40 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 41 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 42 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 43 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 44 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 45 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 46 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 47 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 48 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 49 -> 0.71338, 0.101615, 0.0053497, 0.146074, 0.00699199"
"Iteration 50 -> 0.786882, 0.0900009, 0.00532497, 0.127505, 0.00592725"
"Iteration 51 -> 0.786882, 0.0900009, 0.00532497, 0.127505, 0.00592725"
"Iteration 52 -> 0.74709, 0.0946474, 0.0048607, 0.132525, 0.00581257"
"Iteration 53 -> 0.74709, 0.0946474, 0.0048607, 0.132525, 0.00581257"
